"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","17","",".",".",".",".",".",".",".",".",".",".",".","94.1",".",".","5.9","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo&Disease Prevention
702","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ldrshp in Adv Practc Nursing I
704","001","","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8"
"Nursing Research
706","001","","30","3.914","83.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","3.3"
"Adv Prac Nursing Thry: Adults
722","001","","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"726","010","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"726","040","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726","060","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract I","Course Total","","36","3.833","69.4","27.8","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"728","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"728","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"728","040","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","060","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","061","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev I","Course Total","","35","3.924","88.6","5.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac Nrsg Thry-Famly&Child
741","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd
746","001","","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac Nrsg Thry-Psychiatric
751","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"787","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"787","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nursing Education Practicum","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Independent Study
799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 428 of 450",""
