"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof
306","001","","16","3.469","62.5","18.8","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Health Assessment
317","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"407","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"407","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"407","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","Course Total","","11","3.650","63.6","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"441","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"441","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"441","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","9","3.056","22.2","44.4","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"446","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"446","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"446","003","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"447","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","7","3.286","42.9","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"453","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"453","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"453","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"454","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"454","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"490","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Capstone Practicum for RNs
519","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
