"","967
042","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
043","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Urology Elective","Course Total","7","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Opt. Value, Quality and Safety","973
009","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"936
SURGERY","Dept. Total","158","3.984","17.1","0.6","",".",".","",".","",".","",".","81.0","",".",".","",".","",".","",".",".","1.3","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".","25.0","."
"Junior","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","20","3.980","95.0","5.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","28","3.984","92.9","3.6","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","3.6","."
"Special","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","129","",".",".","",".",".","",".","",".","",".","99.2","",".",".","",".","",".","",".",".","0.8","."
"Professionals","","129","",".",".","",".",".","",".","",".","",".","99.2","",".",".","",".","",".","",".",".","0.8","."
"","Dept. Total","158","3.984","17.1","0.6","",".",".","",".","",".","",".","81.0","",".",".","",".","",".","",".",".","1.3","."
