"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","140","3.173","26.4","32.9","21.4","5.7","5.0","5.7","2.1",".",".",".",".",".",".",".","0.7","."
"","100
002","64","3.203","29.7","31.3","17.2","9.4","4.7","7.8",".",".",".",".",".",".",".",".",".","."
"General Anthropology","Course Total","204","3.182","27.5","32.4","20.1","6.9","4.9","6.4","1.5",".",".",".",".",".",".",".","0.5","."
"Archaeology & Prehist World","102
001","160","3.726","69.4","14.4","10.0","1.9","1.3","0.6","0.6","1.9",".",".",".",".",".",".",".","."
"","104
001","425","3.768","74.4","16.9","3.1","1.6","0.9","1.4","0.7",".",".",".",".",".",".",".","0.7","0.2"
"","104
002","400","3.789","76.0","16.8","3.5","1.3","0.5","0.8","1.0",".",".",".",".",".",".",".",".","0.3"
"","104
016","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
019","12","3.583","58.3","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","104
020","16","3.688","75.0","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","104
028","20","3.868","80.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","5.0"
"","104
029","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
030","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","104
034","20","3.625","70.0","15.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","932","3.773","74.6","17.2","3.4","1.4","0.8","1.2","0.9",".",".",".",".",".",".",".","0.3","0.3"
"","105
001","256","3.882","80.5","13.7","0.8","1.6","0.8",".",".","2.3",".",".",".",".","0.4",".",".","."
"","105
002","265","3.858","83.8","10.6","1.1","2.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"","105
007","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
011","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","Course Total","555","3.873","82.3","12.3","0.9","2.0","1.3",".",".","1.1",".",".",".",".","0.2",".",".","."
"Fr/Soph Seminar in Anthro","120
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","212
001","62","3.697","71.0","14.5","9.7",".",".",".","3.2","1.6",".",".",".",".",".",".",".","."
"Intro to Social Medicine","231
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Caribbean Music and Culture","237
001","19","3.289","26.3","31.6","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","15","3.367","33.3","40.0","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","27","3.827","88.9","3.7",".",".",".",".","3.7",".",".",".",".",".","3.7",".",".","."
"Intro Ling-Descript&Theoret","301
001","11","3.500","36.4","36.4","9.1",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303
001","12","3.583","66.7",".","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Indians of North America","314
001","21","3.262","52.4",".","9.5","23.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321
001","57","3.160","33.3","17.5","17.5","7.0","5.3","1.8","5.3","10.5",".",".",".",".","1.8",".",".","."
"Economic Anthropology","348
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Political Anthropology","350
001","17","3.813","58.8","35.3",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Archaeology of Wisconsin","354
001","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391
001","13","3.500","53.8",".","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","7.7"
"Evolutionary Biology","410
001","24","3.167","45.8","8.3","16.7","4.2",".","4.2","8.3","12.5",".",".",".",".",".",".",".","."
"Anthropology of Children/Youth","415
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"American Indian Women","437
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnobotany","474
001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","13","3.538","61.5","7.7","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","490
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","18","3.556","66.7","5.6","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
