"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","16","",".",".",".",".",".",".",".",".",".","93.8",".",".",".",".",".","6.3"
"Gender, Women & Society-Global","102","001","156","3.863","82.7","11.5","1.3","1.3",".","0.6","0.6","1.3",".",".",".",".","0.6",".",".","."
"","103","001","291","3.785","78.7","13.1","3.4","1.7","1.4","0.7","1.0",".",".",".",".",".",".",".",".","."
"","103","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","314","3.800","79.9","12.1","3.2","1.6","1.3","0.6","1.0",".",".",".",".",".","0.3",".",".","."
"Intro to LGBTQ+ Studies","200","001","80","3.429","50.0","30.0","3.8","6.3","1.3",".","6.3",".",".",".",".",".","2.5",".",".","."
"Intro-Black Women Writers","222","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Feminist App: Research&Writing","240","001","26","3.750","76.9","7.7","3.8",".",".",".","3.8","3.8",".",".",".",".","3.8",".",".","."
"Women, Gender and Religion","305","001","16","3.700","43.8","43.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Topics-Gender, Women & Society","320","002","35","3.443","45.7","28.6","17.1","2.9",".","2.9","2.9",".",".",".",".",".",".",".",".","."
"Queer Bodies","343","001","40","3.692","70.0","15.0","5.0","5.0",".",".","2.5",".",".",".",".",".","2.5",".",".","."
"Bi/Pan/Asexuality","344","001","38","3.684","65.8","15.8","10.5","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","350","001","30","3.750","90.0",".",".","3.3","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"","350","002","17","3.529","47.1","23.5","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","","Course Total","47","3.670","74.5","8.5","6.4","6.4","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Topics in Gender & Disability","370","001","38","3.803","84.2","10.5",".","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"Gender and Visual Culture","410","001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","32","3.435","34.4","21.9","34.4","6.3",".",".",".",".",".",".",".",".",".","3.1",".","."
"The Female Body in the World","423","001","36","3.750","77.8","8.3","8.3","2.8",".","2.8",".",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","425","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gend. & Poli. in Comp Persp.","429","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Feminist Theory","449","001","33","3.781","63.6","27.3","3.0","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"Brazillian Women Writers","450","001","15","3.700","86.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","34","3.647","73.5","11.8","2.9",".","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","31","3.867","93.5",".",".",".",".",".","3.2",".",".",".",".",".","3.2",".",".","."
"Intersectionality","547","001","17","3.844","76.5","11.8",".","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Capstone Smr in Gender & Wm St","640","001","10","3.500","10.0","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis I","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","720","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","720","002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn","","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research & Thesis","790","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","799","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Study-Gen & Women's Study","880","001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Feminist Political Theory","933","001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
