"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","271","3.159","23.6","29.9","25.1","10.0","7.4","1.8","2.2",".",".",".",".",".",".",".",".","."
"","125","001","19","3.833","68.4","21.1","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","125","002","160","3.331","40.0","23.8","18.1","6.3","5.0","3.8","1.3",".",".",".",".",".",".",".","1.9","."
"Amer Soc: How It Really Works","","Course Total","179","3.371","43.0","23.5","16.8","5.6","4.5","3.4","1.1",".",".",".",".",".","0.6",".","1.7","."
"Criminal Justice in America","131","001","112","2.860","9.8","20.5","31.3","9.8","19.6","4.5",".",".",".",".",".",".",".",".","4.5","."
"Soc of Race & Ethnicity in US","134","001","538","3.408","40.7","27.1","15.4","6.3","5.2","1.7","0.9",".",".",".",".",".","0.2","0.2","2.0","0.2"
"The Sociology of Gender","138","002","99","3.949","90.9","8.1","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","64","3.602","65.6","20.3","6.3",".","3.1","1.6","3.1",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160","001","22","3.727","63.6","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Population Problems","170","001","474","3.746","71.9","17.1","5.1","2.7","1.7","0.8","0.4","0.2",".",".",".",".",".",".",".","."
"Directed Study","199","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","27","3.444","59.3","14.8","14.8",".","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"Intercultural Dialogues","205","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","73","3.613","50.7","30.1","8.2","4.1","4.1",".",".",".",".",".",".",".","1.4",".",".","1.4"
"The Sociological Enterprise","211","002","36","3.681","61.1","25.0","5.6","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","20","3.684","40.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"SE Asia:Vietnam to Philipns","244","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","18","3.618","66.7","16.7",".",".","5.6","5.6",".",".",".",".",".",".","5.6",".",".","."
"Wisconsin Idea, Past & Present","259","001","25","3.423","20.0","4.0",".",".","4.0",".",".","72.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","13","3.385","15.4","61.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","320","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","081","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","135","19","3.933","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","149","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","182","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","208","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","209","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","235","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","38","3.973","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor in Global Food Systems","341","001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","76","3.783","81.6","10.5","2.6","1.3",".","3.9",".",".",".",".",".",".",".",".",".","."
"","360","001","26","3.308","50.0","15.4","15.4",".","15.4",".","3.8",".",".",".",".",".",".",".",".","."
"","360","002","25","3.326","24.0","28.0","32.0",".","8.0",".",".",".",".",".",".",".","8.0",".",".","."
"Stats for Sociologists I","","Course Total","51","3.316","37.3","21.6","23.5",".","11.8",".","2.0",".",".",".",".",".","3.9",".",".","."
"Stats for Sociologists II","361","001","28","3.554","60.7","7.1","21.4","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421","001","35","3.171","37.1","20.0","11.4","14.3","14.3",".","2.9",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
