"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","001
362","32","3.387","31.3","37.5","18.8",".","6.3","3.1",".","3.1",".",".",".",".",".",".",".","."
"","002
362","214","3.086","25.2","20.1","23.4","13.6","11.7","2.8","0.9","2.3",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","246","3.125","26.0","22.4","22.8","11.8","11.0","2.8","0.8","2.4",".",".",".",".",".",".",".","."
"","363
001","49","3.149","22.4","16.3","28.6","24.5","4.1",".",".","4.1",".",".",".",".",".",".",".","."
"","363
002","314","3.043","19.7","16.2","24.5","27.1","8.0","0.6","0.3","3.5",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","Course Total","363","3.057","20.1","16.3","25.1","26.7","7.4","0.6","0.3","3.6",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","26","3.519","38.5","34.6","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","001
471","33","3.242","24.2","39.4","27.3","3.0",".",".","6.1",".",".",".",".",".",".",".",".","."
"Hist of Motherhood in Amer","473
001","13","3.192","15.4","23.1","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","474
001","30","3.367","36.7","26.7","16.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Dev Blk Child&Fam: Rsch&Pol","478
001","28","3.250","3.6","50.0","42.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","501
001","25","3.841","64.0","20.0","4.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"","501
002","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","29","3.138","20.7","31.0","27.6","3.4","13.8","3.4",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","82","3.614","56.1","22.0","11.0","1.2","4.9","1.2",".","3.7",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","29","3.518","51.7","20.7","13.8","3.4","3.4","3.4",".","3.4",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","32","3.714","68.8","6.3","3.1",".","9.4",".",".","9.4",".",".",".",".",".","3.1",".","."
"","521
001","27","3.685","55.6","25.9","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
521","27","3.463","51.9","25.9","14.8",".",".","3.7","3.7",".",".",".",".",".",".",".",".","."
"The Afro-American Family","Course Total","54","3.574","53.7","25.9","16.7",".",".","1.9","1.9",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","34","3.121","23.5","20.6","41.2","2.9","2.9",".","5.9","2.9",".",".",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","001
566","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","37","3.917","86.5","8.1","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","40","3.923","87.5","7.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662
001","23","3.674","56.5","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","11","3.806","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","22","3.891","81.8","9.1","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Theory & Issues-Human Dev","725
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
