"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","268","3.183","34.0","14.9","30.6","6.3","8.2","2.6","2.2","0.7",".",".",".",".",".",".",".","0.4"
"200
Introduction to Phonetics","001","","47","3.883","89.4","6.4","2.1",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"201
Speech Science","001","","40","2.650","5.0","30.0","22.5","20.0","7.5","7.5","7.5",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","38","3.316","36.8","31.6","15.8",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","136","2.628","21.3","9.6","19.1","11.8","21.3","8.8","5.9","1.5",".",".",".",".",".",".",".","0.7"
"318
Speech Pathology II","001","","40","3.325","15.0","47.5","27.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"320
Introduction to Audiology","001","","48","3.333","33.3","18.8","33.3","10.4","4.2",".",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","30","3.833","70.0","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Auditory Rehabilitation","001","","54","3.500","35.2","38.9","18.5","5.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"434
Manual Coded English-SL II","001","","20","3.684","65.0","10.0","15.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","71","3.718","64.8","19.7","12.7",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"692
School Practicum in Com Dis","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Audiol-Speech/Lang Pathlgst","001","","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Dysarthria","001","","21","3.550","38.1","33.3","19.0","4.8",".",".",".",".",".",".",".",".",".","4.8",".","."
"717
Mgt&Assessmt-Voice Disorder","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","19","3.935","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","45","3.962","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"791","002","","8","3.733","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"791","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"791","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"791","005","","12","3.769","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology","Course Total","","22","3.750","72.7","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 183 of 397",""
