"TERM : 1034","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2002-2003","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","167","3.927","10.8","2.4","",".",".","",".","",".","",".","86.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","5","3.955","80.0","20.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","13","3.979","92.3","7.7","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","19","3.958","84.2","15.8","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","145","3.700","1.4","0.7","",".",".","",".","",".","",".","97.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","3","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","3","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","167","3.927","10.8","2.4","",".",".","",".","",".","",".","86.8","",".",".","",".","",".","",".",".",".","."
