"EDU","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","29","3.759","65.5","24.1","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","105
001","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","105
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","14","3.500","71.4","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Medical Terminology","148
001","53","3.755","79.2","3.8","13.2","1.9",".",".","1.9",".",".",".",".",".",".",".",".","."
"Adaptatn-Pediatric Disordrs","534
001","20","3.275","20.0","30.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Pediatrc Occ Ther","537
001","20","3.525","35.0","45.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Clerkshp-Independent Living","544
001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatns-Independnt Living","001
545","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Management","636
001","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties II","640
001","20","3.100","10.0","25.0","45.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Phys Disabilities","641
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Fieldwork","670
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","791
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","251","3.548","59.4","19.5","15.1","2.4","1.6","0.4","0.4","0.8",".","0.4",".",".",".",".",".","."
