"NEUROLOGY","","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","",""
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Neurology","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Hum Muscl Func/Hlth&Disease","779","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","910","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuromusc Disease Clerk-CSC","","Course Total","","3","***","","","","","","","","","","","","","","","",""
