"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"405
Pathophys Basis-Phmcotherpy","001","","127","2.961","11.0","26.0","28.3","18.1","15.0","0.8","0.8",".",".",".",".",".",".",".",".","."
"426
Intro-Pharm Care Clrkshp II","001","","131","3.992","99.2",".","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Therpeutcs-PAs&Adv Prac Nur,II","001","","35","3.429","40.0","20.0","28.6","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"448
Team Appr-Emergncy Care","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"490","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","11","3.827","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Intro-Phmceut Care Clrk IV","056","","120","3.992","99.2",".","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","120","2.567","2.5","10.8","30.8","24.2","27.5","0.8","3.3",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","123","3.447","19.5","61.8","12.2","3.3","2.4","0.8",".",".",".",".",".",".",".",".",".","."
"626
Intro-Phmceut Care Clrk VI","056","","132","3.985","99.2",".",".",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","62","3.065","22.6",".","61.3",".","16.1",".",".",".",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","135","2.963","5.2","22.2","37.8","29.6","5.2",".",".",".",".",".",".",".",".",".",".","."
"664","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"665","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"665","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nuclear Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"670
Veterinary Therapeutics","002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","26","3.887","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","22","3.295","22.7","27.3","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health Pharmacother","Course Total","","24","3.292","20.8","29.2","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","38","3.966","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","001","","36","3.444","22.2","50.0","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"710","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
