"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Geriatric Pharmacotherapy","Course Total","41","3.415","22.0","46.3","24.4","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Respiratory Pharmacotherapy","002
720","9","3.438","22.2","44.4","11.1","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"Gastrointestnl Pharmacother","722
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","740
005","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
006","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
105","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","740
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","38","3.986","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
005","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
105","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","45","3.983","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","58","3.853","77.6","17.2","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","760
006","59","3.915","88.1","8.5","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","760
105","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
106","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
116","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","133","3.886","83.5","12.0","3.0","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1381","3.528","53.6","16.2","15.8","8.0","5.4","0.2","0.4","0.4",".",".",".",".","0.1",".",".","."
