"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"308
People, Chemicals, Envrnmnt","001","","20","3.605","35.0","45.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"650","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"650","024","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"650","025","","31","3.933","83.9","12.9",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","48","3.933","54.2","8.3",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","3.727","62.5",".","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"703
Qual-Hlth Care:Eval&Assurnc","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","14","3.462","28.6","28.6","35.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"801
Epidemiology-Infect Disease","001","","10","3.778","60.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"901
Doctoral Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Epidemiol Elect-Div of Hlth","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913
Clin Chem-Newborn-StateLab","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 364 of 397",""
