"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"Independent Study","699
040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
041","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","042
812","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
043","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
812","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
045","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","046
812","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","72","3.785","70.8","15.3","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Behav Med Clerk-LaCrosse","921
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","924
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","3","***","","","","","","","","","","","","","","","",""
