"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Physics for Medicine & Biol","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"471","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"471","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Medical Physics","Course Total","","5","***","","","","","","","","","","","","","","","",""
"530
Medical Imaging Systems","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","14","3.250","21.4","14.3","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Physics","001","","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Adv Brachytherapy Physics","001","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Rad Lab-Diagnstc Rad Phys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"663
Rad Lab-Nuc Med Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Rad Lab:CT,MRI,&DSA Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Ind Reading or Research","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"707
Digital X-Ray Imaging","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Radiation Med Physics Clerkshp","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Rad Facts-Prim Care Physicians","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","45","",".",".",".",".",".",".",".","77.8","2.2",".",".","20.0",".",".",".","."
