"PHM","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PHA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Pharmacy","401
001","36","3.458","44.4","13.9","36.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Pharmacists/Health Care Sys","414
001","132","2.989","7.6","30.3","29.5","20.5","11.4",".","0.8",".",".",".",".",".",".",".",".","."
"Select Topics-Soc&Adm Phcy","490
001","11","3.591","18.2","81.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Law and Regulation","511
001","118","3.246","15.3","35.6","34.7","11.9","2.5",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem:Social & Behav Phcy","622
001","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Finance&Reimbursement","630
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Communicatn:Edu&Behav","652
001","132","3.864","76.5","20.5","2.3","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","012
699","14","3.914","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","16","3.921","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Hospital Phm Admin","716
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","912
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","11","",".",".",".",".",".",".",".","72.7",".",".",".","27.3",".",".",".","."
"Advanced Independent Study","999
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","487","3.435","38.0","26.3","20.3","8.6","4.1",".","0.2","1.8",".",".",".","0.6",".",".",".","."
