"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","255","3.004","25.5","8.2","34.9","9.0","14.1","3.5","1.2","3.5",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Liability Risk Management","615
001","49","3.408","34.7","16.3","44.9","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","131","3.229","20.6","26.7","35.9","13.0","3.1","0.8",".",".",".",".",".",".",".",".",".","."
"Government Insurance Progs","625
002","20","3.400","50.0","15.0","15.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710
001","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","2","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","497","3.190","30.2","14.7","33.0","8.7","8.7","2.0","0.6","2.2",".",".",".",".",".",".",".","."
