"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","105
001","","25","3.438","32.0","36.0","12.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","105
002","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","32","3.569","37.5","34.4","9.4","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","164","3.534","36.6","40.2","18.3","4.3",".","0.6",".",".",".",".",".",".",".",".",".","."
"","401
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
401","","9","3.875","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
401","","6","3.940","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
401","","11","3.958","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","86","3.955","93.0","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Social Welfare","420
001","","10","3.167","20.0","40.0",".","10.0","20.0",".",".","10.0",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","214","3.637","55.6","20.1","11.2","3.7","1.9","0.5","0.5","6.5",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","76","3.613","52.6","22.4","19.7","1.3","2.6",".",".",".",".",".",".",".",".","1.3",".","."
"Child Welfare","462
001","","25","3.320","28.0","36.0","24.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"The Afro-American Family","521
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","579
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
002","","9","3.111","44.4",".","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","","15","3.433","60.0","6.7","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","","50","3.600","44.0","38.0","12.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Person","622
001","","20","3.826","80.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Family","623
001","","26","3.907","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","624
001","","23","3.909","91.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","624
002","","21","3.670","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","Course Total","","44","3.803","75.0","11.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Affectng Change-Socl Agency","627
001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","52","3.865","75.0","23.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","642
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","30","3.411","40.0","10.0","16.7","13.3","3.3",".",".","13.3",".",".",".",".",".","3.3",".","."
"","644
002","","17","3.402","58.8","5.9","11.8","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","644
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","644
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","50","3.413","46.0","10.0","16.0","12.0","6.0",".",".","8.0",".",".",".",".",".","2.0",".","."
"Methods-Social Wrk Research","650
001","","57","3.333","38.6","10.5","38.6","7.0","3.5","1.8",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","656
001","","14","3.643","42.9","50.0",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","18","3.750","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 290 of 397",""
