"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"812","061","","18","3.611","27.8","66.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","17","3.618","23.5","76.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","18","3.500","16.7","72.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","18","3.639","33.3","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","71","3.592","25.4","69.0","4.2","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"928
Subintrn Newborn Med-Meritr","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Adolescent Med Clerk-CSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"950
Ped Endocr/DiabetesClrk-CSC","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Clin Genetics Clerk-CSC","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol-Oncology Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"962
Neonatal Clerk-Marshfield","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"967
Ped Pulmon/Allergy Clrk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
