"CLINICAL LABORATORY SCIEN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro-Cl Lab Sci Procedures","310
001","21","3.238","4.8","38.1","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin of Clin Lab Instr I","404
001","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514
001","21","3.048","4.8","19.0","61.9","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology II","516
001","20","3.050",".","25.0","60.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Select&Eval-Meas & Contrl Proc","520
001","21","3.238","28.6","9.5","52.4",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry II","526
001","22","3.091","4.5","18.2","72.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagosis-Infec Disease II","536
001","23","3.283","21.7","26.1","43.5","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"The Breast","544
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Genitourinary System","545
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Gastrointestinal System","546
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Effusions","547
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Central Nervous System","548
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Miscellaneous Systems","549
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","570
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Diagnostics","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","573
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","17","3.769","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Clinical Cytogenetics","610
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues Seminar","640
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","217","3.375","37.3","20.7","36.9","2.8","2.3",".",".",".",".",".",".",".",".",".",".","."
