"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","",""
"Lit in Trans-Icelandic Saga","346","001","5","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Bible in the Middle Ages","368","001","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Old Norse-Icelandc Lit","409","001","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","035","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","","Dept. Total","17","3.398","29.4","35.3","11.8","11.8","5.9","",".","",".","5.9","",".",".",".",".",".",".",".","."
