"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","081","","21","3.262","19.0","28.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","23","3.413","26.1","39.1","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","59","3.373","25.4","32.2","33.9","8.5",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","11","3.464","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","7","3.933","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-LaCrosse","Course Total","","3","***","","","","","","","","","","","","","","","",""
"925
Gen Surg Clerk-Marshfield","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"926","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"926","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Surgery for the Non-Surgeon","Course Total","","12","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Surgery","Course Total","","2","***","","","","","","","","","","","","","","","",""
"935","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
