"TERM : 1034","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2002-2003","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL PHYSICS","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","",""
"MED PHYS
621","Dept. Total","140","3.571","35.0","17.1","12.9","1.4","",".","",".","",".","25.7","0.7",".","",".","6.4","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.250","50.0",".",".","50.0","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Junior","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Senior","","5","3.536","40.0","20.0","40.0",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","8","3.548","50.0","12.5","25.0","12.5","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Special","","1","",".",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".","100.0","."
"Graduate","","127","3.566","32.3","18.1","12.6","0.8","",".","",".","",".","28.3","0.8",".","",".","7.1","",".",".",".","."
"Prof Yr 4","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Professionals","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"","Dept. Total","140","3.571","35.0","17.1","12.9","1.4","",".","",".","",".","25.7","0.7",".","",".","6.4","",".",".","0.7","."
