"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201
Biomed Engineering Design","001","","35","3.600","37.1","45.7","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","001","","33","3.697","60.6","18.2","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","34","3.294","20.6","35.3","26.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"389
Honors in Research","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"401
Physics for Medicine & Biol","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"402
Biomedical Engineering Design","001","","35","3.514","37.1","34.3","22.9","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","46","3.261","13.0","43.5","30.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"461
Math&Comp Model-Physiol Sys","001","","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","17","3.529","52.9","11.8","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"601
Special Topics-Biomed Engr","003","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"762
Biomedical Instrumentation","001","","14","3.571","50.0","14.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
