"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","28","3.654","57.1","17.9","10.7","3.6","3.6",".",".","3.6",".",".",".",".",".",".","3.6","."
"","105
002","119","3.861","82.4","12.6","2.5","1.7",".","0.8",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","147","3.841","77.6","13.6","4.1","2.0","0.7","0.7",".","0.7",".",".",".",".",".",".","0.7","."
"","001
302","79","3.297","15.2","30.4","53.2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","86","3.349","20.9","29.1","48.8","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306
001","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","001
312","111","3.721","52.3","40.5","6.3","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319
001","107","3.841","75.7","17.8","5.6","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322
001","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332
001","96","3.760","58.3","36.5","4.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401
001","105","3.657","59.0","13.3","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concepts-Prof Nursing Pract","406
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415
001","98","3.969","94.9","4.1","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","36","3.861","80.6","13.9","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","444
001","8","3.583","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","12.5"
"","444
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","11","3.333","18.2","36.4","9.1","18.2",".",".",".",".",".",".",".",".","9.1",".",".","9.1"
"Persons&Family/Complx Needs","449
001","58","3.914","91.4","1.7","5.2","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","490
022","14","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
028","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
029","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","28","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","5","***","","","","","","","","","","","","","","","",""
"Advanced Assessment","601
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
020","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
021","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","28","3.883","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 376 of 397",""
