"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","170","2.793","16.5","11.8","28.8","9.4","28.8","2.9","1.2","0.6",".",".",".",".",".",".",".","."
"","100","002","166","2.771","12.7","18.1","26.5","6.0","33.1","2.4","1.2",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","336","2.782","14.6","14.9","27.7","7.7","31.0","2.7","1.2","0.3",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","115","2.680","14.8","7.0","26.1","13.0","33.9","3.5","0.9",".",".",".",".",".",".",".","0.9","."
"Cult Anthro&Human Diversity","104","001","533","3.029","16.1","24.4","26.6","20.1","9.9","1.9","0.6","0.2",".",".",".",".",".","0.2",".","."
"Intro Human Biology","105","001","191","2.550","9.9","11.0","24.6","20.4","20.4","8.4","4.2",".",".",".",".",".",".",".",".","1.0"
"Principles of Archaeology","112","001","62","3.525","56.5","16.1","12.9","3.2","8.1","1.6",".","1.6",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","34","2.735","8.8","11.8","35.3","17.6","23.5",".","2.9",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","71","3.671","62.0","23.9","9.9",".","1.4","2.8",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","003","8","3.250","50.0",".","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","002","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indians of North America","314","001","92","3.101","19.6","31.5","18.5","16.3","5.4","4.3","1.1","3.3",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","002","53","3.560","54.7","17.0","17.0","1.9","7.5",".",".","1.9",".",".",".",".",".",".",".","."
"Archeology of Mid-America","331","001","48","3.225","25.0","22.9","35.4","10.4","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"Political Anthropology","350","001","28","3.608","53.6","28.6","14.3",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","16","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458","001","71","2.793","18.3","7.0","31.0","19.7","15.5","4.2","2.8","1.4",".",".",".",".",".",".",".","."
"Anthropology of South Asia","462","001","19","3.316","26.3","31.6","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","490","001","15","3.464","26.7","33.3","33.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","490","002","18","3.500","33.3","38.9","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","13","3.308","38.5","38.5","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","46","3.433","32.6","37.0","21.7","4.3",".",".","2.2",".",".",".",".",".","2.2",".",".","."
"Anthropology and Education","570","001","18","3.375","27.8","27.8","16.7","16.7",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"Smr-Evolutionary Theory","603","001","10","3.200","60.0",".","10.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","12","3.682","50.0","33.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","690","002","12","3.773","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","690","003","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","690","004","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Problems in Anthropology","","Course Total","53","3.872","75.5","13.2","1.9","1.9",".",".",".","3.8",".",".",".",".","1.9",".","1.9","."
"","698","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund Anthropological Theory","900","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Resch Meth&Dsgn-Cult Anthro","909","001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Historical Anthropology","910","001","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
