"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","001","","18","3.444","5.6","77.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","002","","14","3.429","7.1","78.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","19","3.395","5.3","68.4","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","004","","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","67","3.433","10.4","67.2","20.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"920","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Clin Pediat Clerk-Green Bay","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Rural Pediatrics-Whitehall","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Subintrn Newborn Med-Meritr","Course Total","","4","***","","","","","","","","","","","","","","","",""
"940","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"946","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"950","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"953","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"956","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 341 of 382",""
