"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Internatl Trade & Finance","464","001","101","2.995","16.8","21.8","30.7","20.8","5.0","2.0","3.0",".",".",".",".",".",".",".",".","."
"American Economy to 1865","465","001","11","3.171","18.2","18.2","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Industrial Firms&Orgs","467","001","35","3.157","25.7","11.4","37.1","20.0","5.7",".",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","8","3.313","50.0","12.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Wealth and Income","508","001","24","3.125","20.8","16.7","45.8",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","43","3.134","23.3","20.9","25.6","18.6","2.3","4.7",".","4.7",".",".",".",".",".",".",".","."
"Law and Economics","522","001","40","3.038","5.0","37.5","22.5","30.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Tutorial-Rsch Project Dsgn","590","001","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Mathematical Economics I","703","001","34","3.291","29.4","20.6","32.4","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","40","3.190","17.5","32.5","20.0","20.0","5.0",".",".","2.5",".",".",".",".","2.5",".",".","."
"","711","001","24","2.938","4.2","8.3","66.7","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","711","002","24","3.239","25.0","8.3","50.0","12.5",".",".",".",".",".",".",".",".",".",".","4.2","."
"Thry: Microeconomics Seqnce","","Course Total","48","3.085","14.6","8.3","58.3","12.5","4.2",".",".",".",".",".",".",".",".",".","2.1","."
"","712","001","19","3.316","26.3","21.1","47.4",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","712","002","18","3.324","27.8","16.7","38.9","11.1",".",".",".",".",".",".",".",".",".",".","5.6","."
"Thry: Macroeconomics Seqnce","","Course Total","37","3.319","27.0","18.9","43.2","5.4","2.7",".",".",".",".",".",".",".",".",".","2.7","."
"Econometric Methods","715","001","14","3.462","35.7","14.3","42.9",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Employmnt Rel-Adv Economies","729","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development Planning & Adm","771","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","7","3.769","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871","001","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","14","3.731","42.9","50.0",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Econ Dev-Thy Stat & Policy","878","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wrkshp in Math Econ Theory","901","001","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977","001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 190 of 382",""
