"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"939","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"939","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adt Orth-Fut Orth Clerk-CSC","Course Total","","16","3.917","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","62.5"
"940","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adt Orth-Non-Orth Clerk-CSC","Course Total","","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adult Orth & Fractures-VAH","Course Total","","5","***","","","","","","","","","","","","","","","",""
"944
Upper Extrem Ortho-Marshfld","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.833","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"948","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","50.0"
"948","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"948","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"948","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"948","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Otolaryngology Clerk-CSC","Course Total","","13","3.640","30.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","23.1"
"949","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"949","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Otolaryng Clerk-LaCros","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"954","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"954","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Periph Vasculr Clrk-CSC/VAH","Course Total","","3","***","","","","","","","","","","","","","","","",""
"956","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"956","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","002","","13","3.423","7.7","69.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","14","3.500","14.3","64.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"956","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
