"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"","812
001","","13","3.308","15.4","30.8","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
002","","13","3.423","30.8","23.1","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","10","3.200","30.0",".","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","11","3.273","9.1","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
812","","12","3.250","8.3","33.3","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Neurology","Course Total","","69","3.333","21.7","26.1","49.3","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","910
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurophys & Eplpsy Rsch-CSC","912
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Neurol Consul Serv-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","927
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","927
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clerk Neurology-VAH","Course Total","","2","***","","","","","","","","","","","","","","","",""
