"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","141","3.637","63.8","13.5","14.2","1.4","5.0",".","0.7","1.4",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","34","3.779","76.5","14.7","2.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","43","3.226","14.0","44.2","20.9","14.0","2.3","2.3",".",".","2.3",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","44","3.159","11.4","31.8","38.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","47","3.138","29.8","17.0","23.4","14.9","12.8","2.1",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","70","3.696","62.9","22.9","8.6",".","2.9","1.4",".",".",".",".",".",".",".",".","1.4","."
"Speech Acoustics,Perception","303","001","43","3.337","27.9","30.2","25.6","14.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","50","3.870","82.0","12.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","29","3.776","65.5","24.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Conservation","421","001","45","3.193","20.0","20.0","40.0","13.3","4.4",".",".",".",".",".",".",".",".","2.2",".","."
"","424","001","35","3.868","71.4","25.7",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","424","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","","Course Total","41","3.888","75.6","22.0",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","20","3.325","30.0","15.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","34","3.838","79.4","8.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","510","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","510","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internet Resources-Com Dis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","16","3.533","43.8","37.5","6.3",".",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysphasia in Adults","712","001","32","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719","001","26","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aug Com Sys-Severly Handcp","731","001","9","3.658","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","16","3.810","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","12","3.967","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","56","3.906","87.5","8.9","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","791","001","17","3.889","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
