"EDU","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","21","3.333","9.5","57.1","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Terminology","148
001","52","3.810","78.8","5.8","9.6",".",".","1.9",".","3.8",".",".",".",".",".",".",".","."
"Neurology","502
001","45","3.956","91.1","8.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopedics","503
001","45","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Use of Activity","524
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Occupatnl Perfrmnc","530
001","23","3.717","52.2","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Occ Ther Pro Practice","538
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546
001","16","3.469","31.3","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties I","001
639","45","3.822","73.3","22.2","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","648
001","44","3.898","88.6","2.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Mental Health","649
001","45","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662
002","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork in Mental Health","Course Total","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664
002","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"Fieldwork-Physical Disabil","Course Total","42","",".",".",".",".",".",".",".",".",".","97.6","2.4",".",".",".",".","."
"","699
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","481","3.834","62.4","12.9","5.6","0.2","0.4","0.2",".","1.0",".","17.0","0.2",".",".",".",".","."
