"PHARMACEUTICAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Drugs and Their Actions","310","001","136","3.249","31.6","18.4","27.2","9.6","5.1","3.7",".","3.7",".",".",".",".",".","0.7",".","."
"Survey of Pharmacology","401","001","157","3.282","33.8","21.7","25.5","9.6","5.1","0.6","1.9",".",".",".",".",".",".","0.6",".","1.3"
"Intro-Drug Action&Delivry I","420","001","132","3.034","13.6","27.3","28.0","20.5","9.1",".","1.5",".",".",".",".",".",".",".",".","."
"Phmcol:Non-Prescriptn Drugs","465","001","55","3.218","16.4","30.9","36.4","12.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","490","001","118","3.534","48.3","21.2","22.0","3.4","4.2",".",".",".",".",".",".",".","0.8",".",".","."
"","495","001","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","495","002","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","495","003","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Selected Topics-Pharm Sci","","Course Total","119","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmacology I","521","001","130","2.746","13.8","12.3","22.3","18.5","30.0","3.1",".",".",".",".",".",".",".",".",".","."
"Medicinal Chemistry I","531","001","121","2.671","9.9","6.6","30.6","15.7","34.7","1.7",".",".",".",".",".",".",".",".","0.8","."
"Drug Delivery Systems","540","001","123","2.992","4.1","24.4","38.2","30.9","1.6",".",".",".",".",".",".",".","0.8",".",".","."
"Drug Delivery Systems Lab I","541","001","118","3.534","48.3","21.2","22.0","3.4","4.2",".",".",".",".",".",".",".","0.8",".",".","."
"","558","001","14","3.183","14.3","50.0","7.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","558","002","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Techniques-Pharmacology","","Course Total","26","3.288","19.2","38.5","26.9","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology III","623","001","110","2.718","8.2","6.4","37.3","20.9","25.5","1.8",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625","001","15","3.033","6.7","13.3","66.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Drug Interactions","635","001","27","3.712","48.1","33.3","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Equilibria in Phm Systems","766","001","9","3.714","33.3","44.4",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Special Topics-Pharm Sci","780","001","7","3.286","14.3","57.1",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Conference-Research Workers","931","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","076","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"Research","","Course Total","29","",".",".",".",".",".",".",".","69.0",".",".",".","31.0",".",".",".","."
"Advanced Independent Study","999","048","4","***","","","","","","","","","",".",".",".",".",".",".","."
