"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Immunology Pharmacotherapy","Course Total","8","3.250","50.0",".","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","727
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","727
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuropsych Pharmacotherapy","Course Total","8","3.438","62.5",".",".","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"","740
003","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
740","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","36","3.903","83.3","13.9","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
741","18","3.889","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","741
123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
124","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","42","3.878","81.0","16.7",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","6","3.731","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
003","57","3.851","75.4","21.1","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","760
004","62","3.874","80.6","14.5","3.2","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","123
760","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
124","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","129","3.866","79.1","17.1","2.3","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Phm Prac & Rsch I","771
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","5","***","","","","","","","","","",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","675","3.650","55.9","16.6","13.5","9.0","3.0","0.4","0.6","0.1",".",".",".","0.6","0.3",".",".","."
