"FAMILY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","",""
"709
Physician as Hlth Activist","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","3","3.700","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.000",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","50.0"
"Clrkshp Fam Med&Prac-Madisn","Course Total","","5","***","","","","","","","","","","","","","","","",""
"921
Clerk-FamMed&Prac-Appleton","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerk-FamMed&Prac-EauClaire","Course Total","","3","***","","","","","","","","","","","","","","","",""
"923","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkshp-FamMed&Prac-Wausau","Course Total","","2","***","","","","","","","","","","","","","","","",""
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Clerk/Fam Med-St Lukes","Course Total","","2","***","","","","","","","","","","","","","","","",""
"931
Cl Mgmt-Addictv Disordr-Mad","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934
Commun Cross Cult Hlth Care","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Univ Hsp Fam Prac Sub-Intrn","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
