"MED","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"866","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"866","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Rice Lake","Course Total","","3","***","","","","","","","","","","","","","","","",""
"867","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"867","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"867","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Shawano","Course Total","","5","***","","","","","","","","","","","","","","","",""
"868
Preceptorship-Sheboygan","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"870","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"870","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Viroqua","Course Total","","3","***","","","","","","","","","","","","","","","",""
"871
Preceptorship-Wausau","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"873
Preceptor-Prairie du Sac","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Minong","Course Total","","2","***","","","","","","","","","","","","","","","",""
"879
Preceptor-Madison/Meadowood Cl","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Preceptorship-Cross Plains","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"883","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"883","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Reedsburg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.714","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extram Elect-Anesthesiology","Course Total","","6","3.826","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.600","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Family Med","Course Total","","6","3.810","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"924","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Medicine","Course Total","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Extramur Elect-Neurology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926
Extramur Elect-Obstet & Gyn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
