"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"791","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"791","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology","Course Total","","24","3.917","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.968","87.0","4.3",".",".",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"801
Acoust,Electroacoust&Calibr","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Anat, Physiol&Psychophysics","001","","14","3.536","28.6","57.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"816
Acoustical Phonetics","001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"821
Basic Audiometry","001","","14","3.357","28.6","21.4","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"824
Acoustic-Immittance Measure","001","","10","3.150","10.0","40.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"825
Neurodiagnostic Audiology","001","","11","3.750","63.6","9.1","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"832
Pediatric Audiology","001","","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"840
Lang Probs-Schl Age Chldrn","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","31","3.835","71.0","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","002","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Pathology","Course Total","","41","3.826","70.7","24.4","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-Prob in Voice Disorders","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"942
Lang Pathology-Adults","001","","9","3.880","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"999","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","4","***","","","","","","","","","","","","","","","",""
