"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","003","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","005","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","006","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","007","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","011","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","66","3.795","65.2","28.8","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","4","3.600","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","50.0"
"920","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","20","3.776","65.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.667","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesth Clerk-LaCrosse","Course Total","","3","***","","","","","","","","","","","","","","","",""
