"HEC","","","","","","","","","","","","","","","","","","","",""
"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Special Topics","001","","27","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699
Independent Study","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","43","3.613","39.5","25.6","23.3",".",".",".",".",".",".","11.6",".",".",".",".",".","."
