"Topics in History of Med","668
001","","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Grad Studies-Medical Hist","901
001","","6","3.667","33.3","66.7",".",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Bioethics and the Law","905
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","999
003","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MED HIST
452","Dept. Total","","52","3.409","28.8","40.4","21.2","5.8","",".","",".","1.9","1.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","13","3.423","30.8","30.8","30.8","7.7","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","3.236","21.7","39.1","26.1","8.7","",".","",".","4.3",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","36","3.303","25.0","36.1","27.8","8.3","",".","",".","2.8",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","14","3.692","42.9","42.9","7.1",".","",".","",".",".","7.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","2","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","52","3.409","28.8","40.4","21.2","5.8","",".","",".","1.9","1.9","",".",".","",".","",".","",".",".",".","."
