"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"155
Intro to Biology of Aging","001","","16","3.321","37.5",".","37.5","6.3","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","002","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","003","","14","3.846","71.4","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"650","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","27","3.846","74.1","14.8","7.4",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"662
Intro-Health & Medical Sys","001","","23","3.905","73.9","17.4",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","3.607","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"703
Qual-Hlth Care:Eval&Assurnc","002","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"707
Care Org:Struct,Opertn,Mgmt","001","","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"718
International Health Systems","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Organizational Behav-Med Mgrs","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731","002","","16","3.733","43.8","50.0",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Legal Iss-Hlth Care Admin","Course Total","","23","3.750","47.8","47.8",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"732
Financial Mgmt-Med Managers","001","","23","4.000","91.3",".",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"737
Medical Informatics-Med Mgrs","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Determinants-Population Health","001","","24","3.935","83.3","12.5",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"797
Strategy&Meth-Epidemiology","001","","33","3.516","36.4","33.3","18.2","3.0","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"802
Epidemiol-Chronic Diseases","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"876
Meas&Montr Outcome-Med Care","001","","15","3.750","53.3","33.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"879
Politics of Health Policy","001","","16","3.533","37.5","25.0","31.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"889
Hlth Mgmt Ethics&Leadership","002","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"916
Diseas&Injry Epidem-DivHlth","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 349 of 382",""
