"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"","812
001","","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
002","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","12","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Ophthalmology","Course Total","","70","3.693","38.6","61.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","6","3.900","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
