"NURSING","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"","105","001","18","3.941","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","105","002","131","3.892","87.0","7.6","2.3","1.5",".","0.8",".",".",".",".",".",".",".",".",".","0.8"
"Health Care: Intrdis Appr","","Course Total","149","3.895","85.9","8.1","2.0","1.3",".","0.7",".","1.3",".",".",".",".",".",".",".","0.7"
"Intro to Nursing Practice","212","001","105","3.284","13.3","41.0","35.2","7.6","1.9",".",".",".",".",".",".",".",".",".",".","1.0"
"Clinical Nursing I","219","001","106","",".",".",".",".",".",".",".",".",".","99.1",".",".",".",".",".","0.9"
"Independent Reading","299","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","301","001","105","3.820","64.8","31.4","1.9",".",".",".",".","1.0",".",".",".",".",".",".",".","1.0"
"Intro-Systematic Investigtn","302","001","32","3.672","53.1","28.1","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology & Nursing","310","001","28","3.537","32.1","39.3","25.0",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","317","001","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","003","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","","Course Total","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322","001","67","3.575","50.7","26.9","14.9","4.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332","001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401","001","21","3.571","38.1","42.9","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Concepts-Prof Nursing Pract","406","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415","001","44","4.000","97.7",".",".",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"Clin III-Com Hlth Nurs Prac","419","002","59","3.898","81.4","16.9","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422","001","119","3.303","8.4","50.4","32.8","5.9","0.8",".",".",".",".",".",".",".","0.8",".","0.8","."
"Essentials-Gerontol Nursing","433","001","96","3.974","94.8","5.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","437","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","437","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","444","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","444","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","","Course Total","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449","001","60","3.850","78.3","13.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Practicum in School Nursing","472","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","","Course Total","13","3.875","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","002","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 362 of 382",""
