"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","97","3.742","57.7","34.0","7.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","91","3.544","45.1","29.7","20.9","2.2","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","188","3.646","51.6","31.9","13.8","1.6","0.5",".","0.5",".",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","330
001","37","3.865","78.4","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acad Instr:Learn & Behav Disab","469
001","37","3.878","78.4","18.9","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","Course Total","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
472","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","472
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","472
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","Course Total","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
473","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","473
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","Course Total","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","5","***","","","","","","","","","","","","","","","",""
"","476
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","Course Total","7","3.797","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
477","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
003","8","3.868","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","21","3.925","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","478
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","28","3.143","10.7","50.0","25.0",".","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","505
001","45","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt Adults-Disablties","540
001","12","3.167","16.7","25.0","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Psych-Psycho-Soc Asp","560
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
018","31","3.950","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","34","3.955","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631
001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 77 of 382"
