"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","226","2.993","25.2","10.2","34.1","6.2","20.4","3.1","0.4","0.4",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Property Risk Management","610","001","47","3.287","31.9","10.6","48.9","4.3","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","40","3.125","12.5","12.5","65.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Life and Health Insurance","630","001","22","3.357","40.9","9.1","27.3","13.6","4.5",".",".",".",".",".",".",".",".","4.5",".","."
"Mgt-Insurance Enterprise","640","001","36","3.056","16.7","25.0","19.4","30.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710","001","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Risk Financing Techniques","815","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","2","***","","","","","","","","","","","","","","","",""
