"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.820","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Human Behavior & Environmnt","001","","66","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712","001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"712","002","","22","3.886","86.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","","41","3.829","73.2","22.0","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"742
Assess&Treat Chld&Adolescnt","001","","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","8","3.647","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"800","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800","003","","8","3.872","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"800","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"800","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"800","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"800","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"800","011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","013","","21","3.835","76.2","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"800","014","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","015","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","","78","3.921","87.2","9.0","1.3","1.3",".",".",".",".",".",".",".",".","1.3",".",".","."
"801","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","5","***","","","","","","","","","","","","","","","",""
"820
Women and Mental Health","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Aging & Mental Hlth-Illness","001","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Family Law I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"841
Administration-Social Work","001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"842
Consultatn&Suprvsn-Soc Work","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Recent Developmnts-Soc Work","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Recent Developmnts-Soc Work","002","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Spec Iss-Health Care Settng","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Child Welfare","001","","21","3.925","85.7","4.8","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"923
Family Violence","001","","14","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"928
Social Work and Alcoholism","001","","16","3.438","43.8","18.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"941
Philosophy Social Welfare","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"944
Social Welfare Policy","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
PhD Prosmr:Rsch-Disadv Pops","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 282 of 382",""
