"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"Contemp Practices-Nursing","Course Total","","14","3.529","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Interdis Rur Prim Hlth Care","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Adv Assessment-Primary Care","001","","25","3.660","60.0","20.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"613","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"613","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"613","006","","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Preceptrshp-Nurse Practitnr","Course Total","","32","3.810","78.1","9.4","9.4",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"672
Clinicl Educ-Nursing Pract","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study in Nursing","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Nursing Research I","001","","17","3.765","70.6","23.5",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","19","3.656","36.8","36.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".","5.3","5.3"
"703
Hlth Care & Public Policy-US","001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"704
Leadershp-Roles,Ethics,Care","001","","16","3.594","37.5","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"715","001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"715","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"715","004","","8","3.735","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt Hlth Probs-Ambul Settng","Course Total","","30","3.846","73.3","23.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","10","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"733
Birth&The Postbirth Period","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"745
Prev Hlth Care-Childn&Adol","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
