"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","455","2.904","17.4","17.1","25.9","16.9","15.8","2.9","1.8","1.8",".",".",".",".","0.2",".",".","0.2"
"","125
001","272","2.898","12.5","18.0","28.7","25.7","11.4","1.5","1.5",".",".",".",".",".","0.4",".",".","0.4"
"","125
002","19","3.474","52.6","15.8","15.8","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Amer Society","Course Total","291","2.936","15.1","17.9","27.8","24.4","11.3","1.4","1.4",".",".",".",".",".","0.3",".",".","0.3"
"Social Problems","130
001","86","3.215","15.1","37.2","33.7","8.1","4.7",".","1.2",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","103","3.392","40.8","23.3","16.5","11.7","5.8","1.0",".",".",".",".",".",".",".",".",".","1.0"
"","134
001","447","3.567","46.5","29.3","13.2","6.7","2.2",".",".","1.3",".",".",".",".","0.4",".",".","0.2"
"","134
002","87","3.307","18.4","42.5","17.2","13.8","3.4",".",".","3.4",".",".",".",".",".","1.1",".","."
"Am Racial&Ethnic Minorities","Course Total","534","3.526","41.9","31.5","13.9","7.9","2.4",".",".","1.7",".",".",".",".","0.4","0.2",".","0.2"
"The Sociology of Gender","138
002","91","3.813","79.1","13.2","4.4","2.2",".",".","1.1",".",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","29","3.069","27.6","17.2","24.1","10.3","17.2","3.4",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","001
160","205","2.863","13.2","18.0","25.4","21.5","15.6","2.4","1.5","1.0",".",".",".",".",".","0.5",".","1.0"
"Directed Study","198
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Survey of Sociology","210
001","113","3.319","27.4","32.7","23.9","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","93","3.527","47.3","29.0","12.9","7.5","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","16","3.214","43.8","12.5","12.5",".","6.3","12.5",".","6.3",".",".",".",".",".","6.3",".","."
"Ethnic Movements in U.S.","220
001","25","3.480","44.0","28.0","12.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","21","3.024","23.8","4.8","47.6","19.0",".",".","4.8",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","22","3.143","13.6","22.7","40.9","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","26","2.600","7.7","11.5","19.2","26.9","26.9",".","3.8","3.8",".",".",".",".",".",".",".","."
"Honors Tutorial","288
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
001","22","3.500","22.7","54.5","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","4.5"
"","357
002","28","3.268","21.4","39.3","17.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","003
357","27","3.370","25.9","44.4","14.8","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"","357
004","44","3.557","75.0",".","9.1","2.3","11.4",".","2.3",".",".",".",".",".",".",".",".","."
"","357
005","35","3.618","57.1","20.0","14.3","2.9",".","2.9",".",".",".",".",".",".",".","2.9",".","."
"","007
357","35","3.086","22.9","25.7","25.7","14.3","5.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","191","3.405","41.4","26.7","15.7","7.3","5.8","1.0","1.0",".",".",".",".",".",".","0.5",".","0.5"
"","360
001","35","3.368","25.7","34.3","28.6","2.9","5.7",".",".",".",".",".",".",".",".",".","2.9","."
"","360
002","36","2.417","16.7","8.3","16.7","13.9","22.2","16.7","5.6",".",".",".",".",".",".",".",".","."
"","003
360","33","3.016","33.3","15.2","18.2","12.1","6.1","9.1","3.0",".",".",".",".",".",".","3.0",".","."
"Stats for Sociologists I","Course Total","104","2.922","25.0","19.2","21.2","9.6","11.5","8.7","2.9",".",".",".",".",".",".","1.0","1.0","."
"Stats for Sociologists II","001
361","35","3.400","34.3","34.3","17.1","5.7","8.6",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","24","3.500","45.8","25.0","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
001","20","3.000","30.0","35.0","10.0","5.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".","."
