"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"746
Intrdis Care-Chld/Chron Illnss","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"747","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"747","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"754
Adv Prac Nursng:Mentl Disordrs","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Smr-Nursing Administration","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"810
Smr-Nursing Practice Thry","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Physiological Basis-Nursing","001","","22","3.619","40.9","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"860
Cl Rsch:Illns,Treat&Hosplzn","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"862
Cl Rsch:Nursng Care Delivry","001","","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Nursing Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 364 of 382",""
