"MED","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"Infect Disease Clerkshp-CSC","Course Total","","11","3.714","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"974","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"974","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"974","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Infect Disease Clerk-Milw","Course Total","","3","***","","","","","","","","","","","","","","","",""
"976","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"976","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cl Nephrology Clerk-CSC/VAH","Course Total","","2","***","","","","","","","","","","","","","","","",""
"981","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"981","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"981","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pulmonary Disease Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"984","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"984","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"984","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"984","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit Care-ICU Subintrn-Milw","Course Total","","4","***","","","","","","","","","","","","","","","",""
"985","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"985","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"985","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"985","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"985","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"985","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Medicine-CSC","Course Total","","18","3.794","55.6","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"987
Crit Care/Med ICU-Marshfld","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"988","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"988","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"988","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"988","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Elect Rheumtol-CSC/VAH","Course Total","","4","***","","","","","","","","","","","","","","","",""
