"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","167","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","001","","24","3.447","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","002","","22","3.432","31.8","22.7","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","23","3.422","30.4","21.7","47.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","21","3.405","23.8","33.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","Course Total","","68","3.425","29.4","26.5","44.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","4","***","","","","","","","","","","","","","","","",""
"915","004","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Therapeut&Cl Pharmacol-VAH","Course Total","","17","",".",".",".",".",".",".",".","94.1",".",".",".",".","5.9",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","4","3.955","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","8","3.868","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","003","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","004","","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","005","","14","3.692","35.7","57.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"920","006","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","78","3.721","52.6","37.2","9.0",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","Course Total","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Med Clerkship-Meriter","Course Total","","4","***","","","","","","","","","","","","","","","",""
"924","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Med Clerkship-VAH","Course Total","","4","***","","","","","","","","","","","","","","","",""
