"","919
002","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","919
005","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","919
009","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","6","3.900","66.7","33.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"OPHTHALM
702","Dept. Total","","76","3.739","40.8","59.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Graduate","","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","67","3.669","34.3","65.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","7","3.950","85.7","14.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","74","3.733","39.2","60.8","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","76","3.739","40.8","59.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
