"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"919
Individualized 4th Yr Clerk","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","9","3.818","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","003","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","9","3.900","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","8","3.556","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","9","3.056",".","11.1","88.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","54","3.623","46.3","20.4","31.5",".",".",".",".",".",".",".",".",".",".",".",".","1.9"
"923","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","Course Total","","5","***","","","","","","","","","","","","","","","",""
"924","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Radiol Clerk-St Lukes","Course Total","","5","***","","","","","","","","","","","","","","","",""
