"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"601","002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","","30","3.691","56.7","23.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"613","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"613","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"614","020","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","021","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","050","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","","31","3.948","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac III","Course Total","","2","***","","","","","","","","","","","","","","","",""
"617
Pharmacother-Adv Prac Nurse","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"672
Clinicl Educ-Nursing Pract","001","","16","3.781","81.3","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"700
Nursing Research I","001","","27","3.635","37.0","51.9","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","3.7"
"701
Interpretv Rsch-Health Care","001","","25","3.800","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","27","3.722","48.1","48.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","001","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Preventn&Mgmt-Hlth Probs I","040","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"716","020","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"716","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 372 of 391",""
