"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","362
001","37","3.054","24.3","29.7","21.6","8.1","5.4","8.1","2.7",".",".",".",".",".",".",".",".","."
"","002
362","253","3.222","31.2","21.3","26.1","8.3","6.3","2.0","2.0","1.6","0.4",".",".",".",".","0.4",".","0.4"
"","362
003","16","3.367","25.0","31.3","31.3",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Development of Young Child","Course Total","306","3.208","30.1","22.9","25.8","7.8","6.2","2.6","2.0","1.3","0.3",".",".",".","0.3","0.3",".","0.3"
"","363
001","40","2.961","15.0","12.5","27.5","30.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","363
002","285","2.935","11.6","18.6","29.1","27.0","8.8","1.4","0.7","1.8","0.4",".",".",".","0.4","0.4",".","."
"Develp: Adolescence-Old Age","Course Total","325","2.938","12.0","17.8","28.9","27.4","8.9","1.2","0.6","2.2","0.3",".",".",".","0.3","0.3",".","."
"Family&Com Influences-Child","469
001","34","3.485","29.4","38.2","32.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infants&Toddlers:Developmnt","470
001","29","3.776","55.2","44.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","37","3.270","32.4","29.7","24.3","2.7","2.7","8.1",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474
001","32","3.656","59.4","25.0","3.1","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","30","3.712","43.3","40.0",".","3.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"","501
002","26","3.327","34.6","26.9","26.9",".","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"","003
501","30","3.350","23.3","33.3","33.3","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","86","3.427","33.7","33.7","19.8","4.7","2.3","1.2",".","4.7",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","26","3.673","57.7","26.9","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","48","3.170","18.8","22.9","41.7","6.3","6.3","2.1",".","2.1",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","25","3.380","52.0","4.0","28.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Sr Smr-Hum Devel & Fam Studies","566
001","28","3.839","75.0","21.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","27","3.768","70.4","18.5","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","601
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","29","3.783","72.4","17.2","6.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662
001","31","3.726","67.7","16.1","12.9",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:Human Dev & Fam Studies","664
001","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","18","3.965","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","33","3.879","78.8","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parnt-Chld Across Life Crse","001
842","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bridging Gap: Rsch & Action","872
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prevention Science","880
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 139 of 391",""
