"RURAL SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Rural Sociol&Development","140","001","","15","2.867","13.3","26.7","33.3",".","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ag&Soc Change-Western Hist","230","001","","32","2.953","21.9","28.1","25.0","6.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"Technology and Society","245","001","","6","3.000",".","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".","16.7",".","."
"Issues in Food Systems","340","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","357","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","357","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","357","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","357","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","","Course Total","","10","3.000","20.0","40.0","20.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","360","001","","8","2.857",".","12.5","37.5","37.5",".",".",".",".",".",".",".",".",".",".","12.5","."
"","360","002","","7","2.143","14.3",".","14.3","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".","."
"","360","003","","9","2.889","22.2","22.2","22.2",".","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","","Course Total","","24","2.652","12.5","12.5","25.0","20.8","12.5","8.3","4.2",".",".",".",".",".",".",".","4.2","."
"Stats for Sociologists II","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Development","617","001","","29","3.724","62.1","24.1","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","875","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Smr: Sociol-Econ Change","940","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Energy, Envir & Develop","942","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Rural Sociology","945","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Envir & Resource Soc","948","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Human Ecology","977","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Sci,Tech,Ag,Rscs&Envir","985","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Reading and Research","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
