"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","19","3.447","21.1","52.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","19","3.526","26.3","52.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","17","3.441","17.6","52.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","19","3.526","10.5","84.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","74","3.486","18.9","60.8","18.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"929
Gen Outpatient Peds-Marshfl","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Peds Sub-Intrn Newborn-Milw","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"946
Child Psych Clerk-CSC","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"953","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"956
Hematol-Oncology Clerk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962
Neonatal Clerk-Marshfield","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"965","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"965","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Neurol Clerk-CSC","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 349 of 391",""
