"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"440
Therpeutcs-PAs&Adv Prac Nur,I","001","","29","3.121","27.6","17.2","27.6","13.8","10.3","3.4",".",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"490","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"490","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","20","3.614","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"550","001","","61","3.500","37.7","34.4","21.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"550","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","Course Total","","65","3.477","36.9","33.8","20.0","6.2","3.1",".",".",".",".",".",".",".",".",".",".","."
"555","001","","132","3.337","29.5","31.1","23.5","12.1","2.3","1.5",".",".",".",".",".",".",".",".",".","."
"555","002","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","Course Total","","138","3.344","31.2","30.4","22.5","12.3","2.2","1.4",".",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","002","","6","3.083",".","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"612
Radiopharmaceuticals","001","","45","3.944","93.3","2.2","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Pharmacotherapy III","001","","117","3.145","23.9","16.2","29.9","24.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"664","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"665
Nuclear Pharmacy Clerkship","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"670
Veterinary Therapeutics","001","","86","3.688","62.8","14.0","20.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Renal Pharmacotherapy","002","","13","3.077","38.5","7.7","30.8","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"740","003","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","004","","26","3.865","80.8","15.4",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","51","3.892","84.3","11.8","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"741","003","","25","3.820","72.0","24.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"741","004","","26","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","51","3.814","70.6","23.5","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 378 of 391",""
