"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","27","3.574","51.9","22.2","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"","002
105","132","3.913","87.9","7.6","3.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
010","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","174","3.879","81.0","10.3","6.9","1.1","0.6",".",".",".",".",".",".",".",".",".",".","."
"","212
001","108","3.338","12.0","50.0","31.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
212","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Nursing Practice","Course Total","115","3.361","13.9","50.4","29.6","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","219
001","107","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","219
002","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","114","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","299
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"","301
001","108","3.806","67.6","25.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","115","3.783","64.3","27.8","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306
001","9","3.556","55.6","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","61","3.525","27.9","54.1","14.8","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","14","3.286","21.4","21.4","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322
001","88","3.898","86.4","10.2","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","341
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","341
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theoretical Foundations","Course Total","4","***","","","","","","","","","","","","","","","",""
"Clin III-Com Hlth Nurs Prac","001
419","64","3.922","85.9","12.5","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422
001","110","3.750","61.8","30.0","5.5","1.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","433
001","112","3.924","84.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","444
003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","48","3.948","89.6","10.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","472
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","472
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in School Nursing","Course Total","3","***","","","","","","","","","","","","","","","",""
"","020
490","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","7","3.735","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","23","3.652","52.2","26.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 371 of 391",""
