"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Smr: Rehab Psych Research","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Rsch, Pol & Prac-Spec Educ","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803
Current Issues-Special Educ","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"810
Rehab Cnslg Psych-Technique","001","","13","3.816","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903
Psychosocial Thry&Research","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Cnsl Supvn","Course Total","","2","***","","","","","","","","","","","","","","","",""
"921
Internship: Adv Prof Pract","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"980
Adult Cognitive Assessment","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"984
Smr:Princ of Behavior Chnge","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
