"MED","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212
001","15","3.250","20.0","20.0","40.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","6","3.188",".","33.3","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Dev Public Health-America","509
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545
001","23","3.357","13.0","39.1","39.1",".",".",".",".","4.3",".",".",".",".",".",".","4.3","."
"Topics-Ethics & Hist of Med","559
001","26","3.308","26.9","30.8","23.1","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","001
565","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Law and Ethics","613
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","668
001","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","668
002","8","3.143","12.5","25.0","37.5",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Topics in History of Med","Course Total","14","3.333","28.6","14.3","35.7",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"Ind Study in Med History","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","119","3.375","29.4","26.1","29.4","5.0","1.7","1.7",".","5.9",".",".",".",".",".",".","0.8","."
