"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"PEDIATRICS","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","",""
"966","045","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"966","046","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","6","3.667","33.3","66.7",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"967","041","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"967","042","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"967","043","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"967","044","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Ped Pulmon/Allergy Clrk-CSC","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"990
Research","070","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"PEDIAT
708","Dept. Total","135","3.605","43.7","42.2","12.6","0.7","",".","",".","",".","0.7",".",".",".",".",".",".",".","."
