"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","160","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","176","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"812","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","22","3.341","22.7","22.7","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","25","3.333","20.0","24.0","52.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"812","083","","25","3.417","24.0","32.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"Prin Int Med-Basic Clrkship","Course Total","","74","3.358","21.6","25.7","47.3","1.4",".",".",".",".",".",".",".",".",".",".","1.4","2.7"
"910
Indep Rdg & Rsch-4th Yr Med","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","045","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","046","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Therapeut&Cl Pharmacol-VAH","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"917","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"917","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Tobacco","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","8","3.808","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","042","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","044","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","045","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","046","","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","84","3.810","67.9","27.4","3.6","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"921
Ambulat Med Clerk-Stdt Hlth","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"933
Geriat Subinternshp-CSC/VAH","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"936
Oncol Conslt&Outpt Clrk-VAH","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy&ClinImmun Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"942
Clin Electrophys-Milwaukee","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 337 of 391",""
